Eyes, Nose, Mouth
none, none, none
none, none, No mouth
none, none, Mouth open
none, none, Smiling
none, No nose, none
none, No nose, No mouth
none, No nose, Mouth open
none, No nose, Smiling
none, Square nostrils, none
none, Square nostrils, No mouth
none, Square nostrils, Mouth open
none, Square nostrils, Smiling
none, Triangular nostrils, none
none, Triangular nostrils, No mouth
none, Triangular nostrils, Mouth open
none, Triangular nostrils, Smiling
none, Rectangular nostrils, none
none, Rectangular nostrils, No mouth
none, Rectangular nostrils, Mouth open
none, Rectangular nostrils, Smiling
none, Smaller nostrils, none
none, Smaller nostrils, No mouth
none, Smaller nostrils, Mouth open
none, Smaller nostrils, Smiling
none, Larger nostrils, none
none, Larger nostrils, No mouth
none, Larger nostrils, Mouth open
none, Larger nostrils, Smiling
Squares, none, none
Squares, none, No mouth
Squares, none, Mouth open
Squares, none, Smiling
Squares, No nose, none
Squares, No nose, No mouth
Squares, No nose, Mouth open
Squares, No nose, Smiling
Squares, Square nostrils, none
Squares, Square nostrils, No mouth
Squares, Square nostrils, Mouth open
Squares, Square nostrils, Smiling
Squares, Triangular nostrils, none
Squares, Triangular nostrils, No mouth
Squares, Triangular nostrils, Mouth open
Squares, Triangular nostrils, Smiling
Squares, Rectangular nostrils, none
Squares, Rectangular nostrils, No mouth
Squares, Rectangular nostrils, Mouth open
Squares, Rectangular nostrils, Smiling
Squares, Smaller nostrils, none
Squares, Smaller nostrils, No mouth
Squares, Smaller nostrils, Mouth open
Squares, Smaller nostrils, Smiling
Squares, Larger nostrils, none
Squares, Larger nostrils, No mouth
Squares, Larger nostrils, Mouth open
Squares, Larger nostrils, Smiling
Triangles, none, none
Triangles, none, No mouth
Triangles, none, Mouth open
Triangles, none, Smiling
Triangles, No nose, none
Triangles, No nose, No mouth
Triangles, No nose, Mouth open
Triangles, No nose, Smiling
Triangles, Square nostrils, none
Triangles, Square nostrils, No mouth
Triangles, Square nostrils, Mouth open
Triangles, Square nostrils, Smiling
Triangles, Triangular nostrils, none
Triangles, Triangular nostrils, No mouth
Triangles, Triangular nostrils, Mouth open
Triangles, Triangular nostrils, Smiling
Triangles, Rectangular nostrils, none
Triangles, Rectangular nostrils, No mouth
Triangles, Rectangular nostrils, Mouth open
Triangles, Rectangular nostrils, Smiling
Triangles, Smaller nostrils, none
Triangles, Smaller nostrils, No mouth
Triangles, Smaller nostrils, Mouth open
Triangles, Smaller nostrils, Smiling
Triangles, Larger nostrils, none
Triangles, Larger nostrils, No mouth
Triangles, Larger nostrils, Mouth open
Triangles, Larger nostrils, Smiling
Rectangles, none, none
Rectangles, none, No mouth
Rectangles, none, Mouth open
Rectangles, none, Smiling
Rectangles, No nose, none
Rectangles, No nose, No mouth
Rectangles, No nose, Mouth open
Rectangles, No nose, Smiling
Rectangles, Square nostrils, none
Rectangles, Square nostrils, No mouth
Rectangles, Square nostrils, Mouth open
Rectangles, Square nostrils, Smiling
Rectangles, Triangular nostrils, none
Rectangles, Triangular nostrils, No mouth
Rectangles, Triangular nostrils, Mouth open
Rectangles, Triangular nostrils, Smiling
Rectangles, Rectangular nostrils, none
Rectangles, Rectangular nostrils, No mouth
Rectangles, Rectangular nostrils, Mouth open
Rectangles, Rectangular nostrils, Smiling
Rectangles, Smaller nostrils, none
Rectangles, Smaller nostrils, No mouth
Rectangles, Smaller nostrils, Mouth open
Rectangles, Smaller nostrils, Smiling
Rectangles, Larger nostrils, none
Rectangles, Larger nostrils, No mouth
Rectangles, Larger nostrils, Mouth open
Rectangles, Larger nostrils, Smiling
No eyes, none, none
No eyes, none, No mouth
No eyes, none, Mouth open
No eyes, none, Smiling
No eyes, No nose, none
No eyes, No nose, No mouth
No eyes, No nose, Mouth open
No eyes, No nose, Smiling
No eyes, Square nostrils, none
No eyes, Square nostrils, No mouth
No eyes, Square nostrils, Mouth open
No eyes, Square nostrils, Smiling
No eyes, Triangular nostrils, none
No eyes, Triangular nostrils, No mouth
No eyes, Triangular nostrils, Mouth open
No eyes, Triangular nostrils, Smiling
No eyes, Rectangular nostrils, none
No eyes, Rectangular nostrils, No mouth
No eyes, Rectangular nostrils, Mouth open
No eyes, Rectangular nostrils, Smiling
No eyes, Smaller nostrils, none
No eyes, Smaller nostrils, No mouth
No eyes, Smaller nostrils, Mouth open
No eyes, Smaller nostrils, Smiling
No eyes, Larger nostrils, none
No eyes, Larger nostrils, No mouth
No eyes, Larger nostrils, Mouth open
No eyes, Larger nostrils, Smiling
Closed eyes, none, none
Closed eyes, none, No mouth
Closed eyes, none, Mouth open
Closed eyes, none, Smiling
Closed eyes, No nose, none
Closed eyes, No nose, No mouth
Closed eyes, No nose, Mouth open
Closed eyes, No nose, Smiling
Closed eyes, Square nostrils, none
Closed eyes, Square nostrils, No mouth
Closed eyes, Square nostrils, Mouth open
Closed eyes, Square nostrils, Smiling
Closed eyes, Triangular nostrils, none
Closed eyes, Triangular nostrils, No mouth
Closed eyes, Triangular nostrils, Mouth open
Closed eyes, Triangular nostrils, Smiling
Closed eyes, Rectangular nostrils, none
Closed eyes, Rectangular nostrils, No mouth
Closed eyes, Rectangular nostrils, Mouth open
Closed eyes, Rectangular nostrils, Smiling
Closed eyes, Smaller nostrils, none
Closed eyes, Smaller nostrils, No mouth
Closed eyes, Smaller nostrils, Mouth open
Closed eyes, Smaller nostrils, Smiling
Closed eyes, Larger nostrils, none
Closed eyes, Larger nostrils, No mouth
Closed eyes, Larger nostrils, Mouth open
Closed eyes, Larger nostrils, Smiling
Eyes looking left, none, none
Eyes looking left, none, No mouth
Eyes looking left, none, Mouth open
Eyes looking left, none, Smiling
Eyes looking left, No nose, none
Eyes looking left, No nose, No mouth
Eyes looking left, No nose, Mouth open
Eyes looking left, No nose, Smiling
Eyes looking left, Square nostrils, none
Eyes looking left, Square nostrils, No mouth
Eyes looking left, Square nostrils, Mouth open
Eyes looking left, Square nostrils, Smiling
Eyes looking left, Triangular nostrils, none
Eyes looking left, Triangular nostrils, No mouth
Eyes looking left, Triangular nostrils, Mouth open
Eyes looking left, Triangular nostrils, Smiling
Eyes looking left, Rectangular nostrils, none
Eyes looking left, Rectangular nostrils, No mouth
Eyes looking left, Rectangular nostrils, Mouth open
Eyes looking left, Rectangular nostrils, Smiling
Eyes looking left, Smaller nostrils, none
Eyes looking left, Smaller nostrils, No mouth
Eyes looking left, Smaller nostrils, Mouth open
