Eyes,Nose,Mouth,File Name,Encoded
,,Larger mouth - open,,TGFyZ2VyIG1vdXRoIC0gb3Blbg==
,,Larger mouth - closed,,TGFyZ2VyIG1vdXRoIC0gY2xvc2Vk
,,Fuller lips - open,,RnVsbGVyIGxpcHMgLSBvcGVu
,,Fuller lips - closed,,RnVsbGVyIGxpcHMgLSBjbG9zZWQ=
,,Thinner lips - open,,VGhpbm5lciBsaXBzIC0gb3Blbg==
,,Thinner lips - closed,,VGhpbm5lciBsaXBzIC0gY2xvc2Vk
,,Smiling - open,,U21pbGluZyAtIG9wZW4=
,,Smiling - closed,,U21pbGluZyAtIGNsb3NlZA==
,,Mouth open with teeth visible,,TW91dGggb3BlbiB3aXRoIHRlZXRoIHZpc2libGU=
,Larger nose,,,TGFyZ2VyIG5vc2U=
,Larger nose,Larger mouth - open,,TGFyZ2VyIG5vc2VMYXJnZXIgbW91dGggLSBvcGVu
,Larger nose,Larger mouth - closed,,TGFyZ2VyIG5vc2VMYXJnZXIgbW91dGggLSBjbG9zZWQ=
,Larger nose,Fuller lips - open,,TGFyZ2VyIG5vc2VGdWxsZXIgbGlwcyAtIG9wZW4=
,Larger nose,Fuller lips - closed,,TGFyZ2VyIG5vc2VGdWxsZXIgbGlwcyAtIGNsb3NlZA==
,Larger nose,Thinner lips - open,,TGFyZ2VyIG5vc2VUaGlubmVyIGxpcHMgLSBvcGVu
,Larger nose,Thinner lips - closed,,TGFyZ2VyIG5vc2VUaGlubmVyIGxpcHMgLSBjbG9zZWQ=
,Larger nose,Smiling - open,,TGFyZ2VyIG5vc2VTbWlsaW5nIC0gb3Blbg==
,Larger nose,Smiling - closed,,TGFyZ2VyIG5vc2VTbWlsaW5nIC0gY2xvc2Vk
,Larger nose,Mouth open with teeth visible,,TGFyZ2VyIG5vc2VNb3V0aCBvcGVuIHdpdGggdGVldGggdmlzaWJsZQ==
,Smaller nose,,,U21hbGxlciBub3Nl
,Smaller nose,Larger mouth - open,,U21hbGxlciBub3NlTGFyZ2VyIG1vdXRoIC0gb3Blbg==
,Smaller nose,Larger mouth - closed,,U21hbGxlciBub3NlTGFyZ2VyIG1vdXRoIC0gY2xvc2Vk
,Smaller nose,Fuller lips - open,,U21hbGxlciBub3NlRnVsbGVyIGxpcHMgLSBvcGVu
,Smaller nose,Fuller lips - closed,,U21hbGxlciBub3NlRnVsbGVyIGxpcHMgLSBjbG9zZWQ=
,Smaller nose,Thinner lips - open,,U21hbGxlciBub3NlVGhpbm5lciBsaXBzIC0gb3Blbg==
,Smaller nose,Thinner lips - closed,,U21hbGxlciBub3NlVGhpbm5lciBsaXBzIC0gY2xvc2Vk
,Smaller nose,Smiling - open,,U21hbGxlciBub3NlU21pbGluZyAtIG9wZW4=
,Smaller nose,Smiling - closed,,U21hbGxlciBub3NlU21pbGluZyAtIGNsb3NlZA==
,Smaller nose,Mouth open with teeth visible,,U21hbGxlciBub3NlTW91dGggb3BlbiB3aXRoIHRlZXRoIHZpc2libGU=
,Larger nostrils,,,TGFyZ2VyIG5vc3RyaWxz
,Larger nostrils,Larger mouth - open,,TGFyZ2VyIG5vc3RyaWxzTGFyZ2VyIG1vdXRoIC0gb3Blbg==
,Larger nostrils,Larger mouth - closed,,TGFyZ2VyIG5vc3RyaWxzTGFyZ2VyIG1vdXRoIC0gY2xvc2Vk
,Larger nostrils,Fuller lips - open,,TGFyZ2VyIG5vc3RyaWxzRnVsbGVyIGxpcHMgLSBvcGVu
